,name,link,price,closest_town,region,zip,coordinates,total_len,easy_len,intermediate_len,difficult_len
13,Steamboat,https://www.skiresort.info/ski-resort/steamboat/,199.0,Steamboat Springs,Colorado,80487,"[-106.87521, 40.502772]",165.0,25.0,95.0,45.0
14,Park City,https://www.skiresort.info/ski-resort/park-city/,133.0,Park City,Salt Lake City,84060,"[-111.49362, 40.648541]",250.0,27.0,152.0,71.0
15,Big Sky Resort,https://www.skiresort.info/ski-resort/big-sky-resort/,194.0,Big Sky Mountain Village,Montana,59716,"[-111.32651, 45.268367]",250.0,55.0,69.0,126.0
16,Aspen Highlands,https://www.skiresort.info/ski-resort/aspen-highlands/,199.0,Highlands Village,Aspen Snowmass,81612,"[-106.882774, 39.223416]",135.0,24.3,40.5,70.2
17,Copper Mountain,https://www.skiresort.info/ski-resort/copper-mountain/,189.0,Frisco,Colorado,80443,"[-106.14029, 39.532506]",126.0,30.0,40.0,56.0
18,Alpine Meadows,https://www.skiresort.info/ski-resort/alpine-meadows/,209.0,Alpine Meadows,Lake Tahoe,96146,"[-120.21804, 39.180983]",100.0,25.0,40.0,35.0
19,Alta,https://www.skiresort.info/ski-resort/alta/,125.0,Alta,,84092,"[-111.80902, 40.558748]",116.0,29.0,46.4,40.6
20,Buttermilk Mountain,https://www.skiresort.info/ski-resort/buttermilk-mountain/,199.0,Aspen,Aspen Snowmass,81612,"[-106.882774, 39.223416]",34.0,11.9,13.3,8.8
21,Jackson Hole,https://www.skiresort.info/ski-resort/jackson-hole/,182.0,Teton Village,Wyoming,83025,"[-110.694002, 43.443851]",116.0,16.0,50.0,50.0
22,Deer Valley,https://www.skiresort.info/ski-resort/deer-valley/,,Park City, read more,84060,"[-111.49362, 40.648541]",103.0,28.0,42.0,33.0
23,Crested Butte,https://www.skiresort.info/ski-resort/crested-butte/,151.0,Mount Crested Butte,Colorado,81224,"[-106.96556, 38.865307]",121.0,31.4,69.0,20.6
24,Powder Mountain,https://www.skiresort.info/ski-resort/powder-mountain/,99.0,Eden,Utah,84310,"[-111.81304, 41.364638]",135.0,30.0,50.0,55.0
25,Whiteface – Lake Placid,https://www.skiresort.info/ski-resort/whiteface-lake-placid/,115.0,Lake Placid,The Adirondacks,12997,"[-73.815204, 44.145678]",37.0,12.8,15.9,8.3
26,Mt. Bachelor,https://www.skiresort.info/ski-resort/mt-bachelor/,169.0,Bend,Oregon,97702,"[-121.30891, 44.020483]",100.0,15.0,25.0,60.0
27,Northstar California Resort,https://www.skiresort.info/ski-resort/northstar-california-resort/,170.0,Truckee,Lake Tahoe,96161,"[-120.22805, 39.339574]",97.0,25.0,45.0,27.0
28,Yellowstone Club,https://www.skiresort.info/ski-resort/yellowstone-club/,,Yellowstone Club,Montana,59716,"[-111.32651, 45.268367]",80.0,30.0,30.0,20.0
29,Snowbird,https://www.skiresort.info/ski-resort/snowbird/,165.0,Snowbird,Salt Lake City,84092,"[-111.80902, 40.558748]",103.0,27.0,38.0,38.0
30,Bald Mountain – Sun Valley,https://www.skiresort.info/ski-resort/bald-mountain-sun-valley/,165.0,,Idaho,83353,"[-114.18191, 43.661373]",92.0,35.0,40.0,17.0
31,Schweitzer Mountain Resort,https://www.skiresort.info/ski-resort/schweitzer-mountain-resort/,95.0,Sandpoint,Idaho,83864,"[-116.55101, 48.362033]",95.0,20.0,40.0,35.0
32,Arapahoe Basin,https://www.skiresort.info/ski-resort/arapahoe-basin/,158.0,Keystone,Colorado,80435,"[-105.97937, 39.607479]",105.0,40.0,25.0,40.0
33,Mt. Hood Meadows,https://www.skiresort.info/ski-resort/mt-hood-meadows/,129.0,Government Camp,Oregon,97041,"[-121.59252, 45.503224]",90.0,13.5,45.0,31.5
34,Stratton,https://www.skiresort.info/ski-resort/stratton/,125.0,Stratton,Vermont,5155,"[-72.84497, 43.158484]",92.0,60.0,20.0,12.0
35,Wenatchee – Mission Ridge,https://www.skiresort.info/ski-resort/wenatchee-mission-ridge/,74.0,Wenatchee,Washington State,98801,"[-120.32881, 47.425497]",100.0,10.0,60.0,30.0
36,Taos,https://www.skiresort.info/ski-resort/taos/,128.0,Taos Ski Valley,New Mexico,87525,"[-105.50602, 36.575944]",113.0,27.0,28.0,58.0
37,Mt. Rose,https://www.skiresort.info/ski-resort/mt-rose/,145.0,Reno,Lake Tahoe,89511,"[-119.7606, 39.403178]",100.0,20.0,30.0,50.0
38,Aspen Mountain,https://www.skiresort.info/ski-resort/aspen-mountain/,199.0,Aspen,Aspen Snowmass,81612,"[-106.882774, 39.223416]",103.0,0.0,49.0,54.0
39,Sugar Bowl,https://www.skiresort.info/ski-resort/sugar-bowl/,125.0,Truckee,Lake Tahoe,95724,"[-120.64145, 39.26599]",90.0,15.3,40.5,34.2
40,Whitefish Mountain Resort,https://www.skiresort.info/ski-resort/whitefish-mountain-resort/,85.0,Whitefish Mountain Village,Montana,59937,"[-114.43069, 48.409454]",91.0,18.0,46.0,27.0
41,Angel Fire,https://www.skiresort.info/ski-resort/angel-fire/,79.0,Angel Fire,New Mexico,87710,"[-105.24877, 36.363506]",75.0,40.0,28.0,7.0
42,Wolf Creek,https://www.skiresort.info/ski-resort/wolf-creek/,80.0,Pagosa Springs,Colorado,81147,"[-107.11287, 37.241179]",100.0,20.0,35.0,45.0
43,Sugarbush,https://www.skiresort.info/ski-resort/sugarbush/,119.0,Warren,Vermont,5674,"[-72.85816, 44.106922]",85.0,17.0,38.0,30.0
44,Purgatory – Durango,https://www.skiresort.info/ski-resort/purgatory-durango/,89.0,Durango,Colorado,81301,"[-107.84945, 37.295888]",85.0,15.0,40.0,30.0
45,Sugarloaf,https://www.skiresort.info/ski-resort/sugarloaf/,119.0,Carrabassett Valley,Maine,4947,"[-70.2669, 45.018122]",87.0,20.0,30.0,37.0
46,Brighton,https://www.skiresort.info/ski-resort/brighton/,97.0,Sandy,Salt Lake City,84121,"[-111.8158, 40.625621]",66.0,10.0,18.0,38.0
47,Okemo,https://www.skiresort.info/ski-resort/okemo/,119.0,Ludlow,Vermont,5149,"[-72.70416, 43.416827]",70.0,22.0,26.0,22.0
48,Mt. Baker,https://www.skiresort.info/ski-resort/mt-baker/,68.58,Glacier,Washington State,98229,"[-122.435478, 48.725417]",100.0,24.0,45.0,31.0
49,Bolton Valley,https://www.skiresort.info/ski-resort/bolton-valley/,84.0,Burlington,Vermont,5477,"[-72.95936, 44.392443]",30.0,15.0,10.0,5.0
50,Jay Peak,https://www.skiresort.info/ski-resort/jay-peak/,89.0,Jay,Vermont,5859,"[-72.41782, 44.963802]",76.0,15.0,31.0,30.0
51,Solitude,https://www.skiresort.info/ski-resort/solitude/,125.0,Salt Lake City,Salt Lake City,84121,"[-111.8158, 40.625621]",64.0,20.0,30.0,14.0
52,Brian Head,https://www.skiresort.info/ski-resort/brian-head/,59.0,Parowan,Utah,84719,"[-112.81081, 37.663896]",71.0,22.0,24.0,25.0
53,Bear Valley,https://www.skiresort.info/ski-resort/bear-valley/,99.0,Bear Valley,California,95223,"[-120.28875, 38.282255]",67.0,17.0,27.0,23.0
54,Alyeska Resort – Girdwood,https://www.skiresort.info/ski-resort/alyeska-resort-girdwood/,89.0,Anchorage,Alaska,99587,"[-149.0838, 60.952049]",62.0,14.0,31.0,17.0
55,Bretton Woods,https://www.skiresort.info/ski-resort/bretton-woods/,104.0,Twin Mountain,New Hampshire,3575,"[-71.387387, 44.695648]",56.0,25.0,16.0,15.0
56,Mount Snow,https://www.skiresort.info/ski-resort/mount-snow/,110.0,West Dover,Vermont,5356,"[-72.87237, 42.952974]",60.0,6.0,46.0,8.0
57,Red Lodge Mountain,https://www.skiresort.info/ski-resort/red-lodge-mountain/,84.0,Red Lodge,Montana,59068,"[-109.32217, 45.241761]",65.0,11.0,30.0,24.0
58,Smugglers' Notch,https://www.skiresort.info/ski-resort/smugglers-notch/,90.0,Jeffersonville,Vermont,05464-9537,"[-72.82257, 44.636283]",78.0,13.0,41.0,24.0
59,Bridger Bowl – Bozeman,https://www.skiresort.info/ski-resort/bridger-bowl-bozeman/,63.0,Bozeman,Montana,59715,"[-110.9878, 45.707153]",71.0,20.0,26.0,25.0
60,Bogus Basin,https://www.skiresort.info/ski-resort/bogus-basin/,64.0,Boise,Idaho,83702,"[-116.20756, 43.627734]",50.0,11.0,22.0,17.0
61,Kirkwood,https://www.skiresort.info/ski-resort/kirkwood/,119.0,Kirkwood,Lake Tahoe,95646,"[-120.05516, 38.688329]",65.0,15.0,30.0,20.0
62,Gore Mountain,https://www.skiresort.info/ski-resort/gore-mountain/,94.0,North Creek,The Adirondacks,12853,"[-73.97457, 43.683067]",58.2,6.7,28.2,23.3
63,Sierra at Tahoe,https://www.skiresort.info/ski-resort/sierra-at-tahoe/,115.0,South Lake Tahoe,Lake Tahoe,95735,"[-120.13213, 38.805745]",46.5,12.0,23.0,11.5
64,Crystal Mountain (WA),https://www.skiresort.info/ski-resort/crystal-mountain-wa/,149.0,Enumclaw,Washington State,98022,"[-121.91915, 47.193729]",50.0,8.0,27.0,15.0
65,49 Degrees North Mountain Resort,https://www.skiresort.info/ski-resort/49-degrees-north-mountain-resort/,62.0,Chewelah,Washington State,99109,"[-117.73437, 48.269784]",68.0,20.0,27.0,21.0
66,Timberline,https://www.skiresort.info/ski-resort/timberline/,89.0,Welches,Oregon,97028,"[-121.78441, 45.305113]",31.0,8.0,15.0,8.0
67,Snowbasin,https://www.skiresort.info/ski-resort/snowbasin/,135.0,Huntsville (Utah),Utah,84317,"[-111.70449, 41.288679]",48.0,5.0,28.0,15.0
68,Loon Mountain,https://www.skiresort.info/ski-resort/loon-mountain/,104.0,Lincoln,New Hampshire,03251,"[-71.6606, 44.051981]",45.0,13.0,26.0,6.0
69,Apache,https://www.skiresort.info/ski-resort/apache/,74.0,Ruidoso,New Mexico,88312-9600,"[-105.63599, 33.420542]",55.0,12.0,18.0,25.0
70,Hunter Mountain,https://www.skiresort.info/ski-resort/hunter-mountain/,91.0,Tannersville,The Catskills,12442,"[-74.23418, 42.222061]",55.0,18.0,18.0,19.0
71,Tamarack Resort,https://www.skiresort.info/ski-resort/tamarack-resort/,100.0,Donnelly,Idaho,83615,"[-116.05992, 44.699961]",42.0,12.0,20.0,10.0
72,Windham Mountain,https://www.skiresort.info/ski-resort/windham-mountain/,98.0,Windham,The Catskills,12496,"[-74.24657, 42.326918]",46.0,20.0,16.0,10.0
73,Arizona Snowbowl,https://www.skiresort.info/ski-resort/arizona-snowbowl/,99.0,Flagstaff,Arizona,86002,"[-112.052427, 35.630842]",37.0,12.0,14.0,11.0
74,Mt. Hood Skibowl,https://www.skiresort.info/ski-resort/mt-hood-skibowl/,59.0,Government Camp,Oregon,97028,"[-121.78441, 45.305113]",65.0,15.0,15.0,35.0
76,Holiday Valley,https://www.skiresort.info/ski-resort/holiday-valley/,85.0,Ellicottville,Chautauqua-Allegheny,14731-0370,"[-78.65425, 42.286037]",48.0,16.0,13.0,19.0
77,Stevens Pass,https://www.skiresort.info/ski-resort/stevens-pass/,100.0,Skykomish,Washington State,98826,"[-120.73874, 47.728186]",39.0,6.0,18.0,15.0
78,Cannon Mountain,https://www.skiresort.info/ski-resort/cannon-mountain/,79.0,Franconia,New Hampshire,03580,"[-71.69959, 44.200124]",50.0,15.0,25.0,10.0
79,Lutsen Mountains,https://www.skiresort.info/ski-resort/lutsen-mountains/,84.0,Lutsen,Minnesota,55612,"[-90.63836, 47.757804]",40.0,8.0,19.0,13.0
80,Eldora Mountain,https://www.skiresort.info/ski-resort/eldora-mountain/,129.0,Nederland,Colorado,80466,"[-105.50805, 39.964486]",52.0,11.0,26.0,15.0
81,Loveland,https://www.skiresort.info/ski-resort/loveland/,89.0,Silverthorne,Colorado,80444,"[-105.7258, 39.694915]",93.0,12.0,38.0,43.0
82,Pico Mountain,https://www.skiresort.info/ski-resort/pico-mountain/,85.0,Killington,Vermont,05751,"[-72.79419, 43.659839]",30.4,5.4,14.0,11.0
83,White Pass,https://www.skiresort.info/ski-resort/white-pass/,69.0,Naches,Washington State,98937,"[-120.97097, 46.71207]",30.0,10.0,12.0,8.0
84,Lost Trail Powder Mountain,https://www.skiresort.info/ski-resort/lost-trail-powder-mountain/,46.0,Sula,Montana,59827,"[-114.07478, 45.905748]",50.0,15.0,25.0,10.0
85,Powderhorn,https://www.skiresort.info/ski-resort/powderhorn/,79.0,Mesa,Colorado,81643,"[-108.16033, 39.102266]",38.0,5.0,15.0,18.0
86,Gunstock,https://www.skiresort.info/ski-resort/gunstock/,92.0,Gilford,New Hampshire,03249,"[-71.398521, 43.555878]",40.0,5.0,25.0,10.0
87,June Mountain,https://www.skiresort.info/ski-resort/june-mountain/,129.0,June Lake,Mammoth Lakes,93529,"[-119.07769, 37.765218]",35.7,2.1,12.9,20.7
88,China Peak,https://www.skiresort.info/ski-resort/china-peak/,104.0,Clovis,California,93634,"[-119.23304, 37.237216]",50.0,20.0,17.0,13.0
89,Donner Ski Ranch,https://www.skiresort.info/ski-resort/donner-ski-ranch/,79.0,Truckee,Lake Tahoe,95724,"[-120.64145, 39.26599]",52.0,13.0,26.0,13.0
90,Mad River Glen,https://www.skiresort.info/ski-resort/mad-river-glen/,92.0,Waitsfield,Vermont,05673,"[-72.8367, 44.184703999999996]",46.0,14.0,17.0,15.0
91,Discovery Ski Area,https://www.skiresort.info/ski-resort/discovery-ski-area/,49.0,Philipsburg,Montana,59858,"[-113.36273, 46.293656]",45.0,12.0,12.0,21.0
92,Great Divide,https://www.skiresort.info/ski-resort/great-divide/,48.0,Marysville,Montana,59640,"[-112.30023, 46.748706]",50.0,10.0,20.0,20.0
93,Dodge Ridge,https://www.skiresort.info/ski-resort/dodge-ridge/,78.0,Sonora,California,95364,"[-119.89619, 38.275328]",50.0,10.0,20.0,20.0
94,Cranmore Mountain Resort,https://www.skiresort.info/ski-resort/cranmore-mountain-resort/,89.0,North Conway,New Hampshire,03860,"[-71.13084, 44.035684]",43.0,16.0,19.0,8.0
95,Attitash Mountain Resort,https://www.skiresort.info/ski-resort/attitash-mountain-resort/,94.0,North Conway,New Hampshire,03812,"[-71.29729, 44.081906]",37.0,7.4,17.4,12.2
96,Mt. Sunapee,https://www.skiresort.info/ski-resort/mt-sunapee/,99.0,Newbury,New Hampshire,03255,"[-72.02654, 43.32582]",30.0,8.0,16.0,6.0
97,Sundance,https://www.skiresort.info/ski-resort/sundance/,85.0,Provo,Utah,84604,"[-111.6491, 40.280454]",44.0,15.0,20.0,9.0
98,Silver Mountain,https://www.skiresort.info/ski-resort/silver-mountain/,62.0,Kellogg,Idaho,83837,"[-116.11848, 47.542783]",25.0,4.0,8.0,13.0
99,Brundage Mountain,https://www.skiresort.info/ski-resort/brundage-mountain/,70.0,McCall,Idaho,83638,"[-116.04991, 44.854428]",30.0,6.0,15.0,9.0
100,Bear Mountain – Big Bear Lake,https://www.skiresort.info/ski-resort/bear-mountain-big-bear-lake/,,Big Bear Lake,California,92315,"[-116.90328, 34.241295]",27.2,8.0,11.2,8.0
101,Terry Peak,https://www.skiresort.info/ski-resort/terry-peak/,58.0,Lead,South Dakota,57754,"[-103.83118, 44.312922]",16.0,4.7,7.2,4.1
102,Ragged Mountain,https://www.skiresort.info/ski-resort/ragged-mountain/,84.0,Danbury,New Hampshire,03230,"[-71.87281, 43.506405]",22.5,4.5,10.0,8.0
103,Snowshoe Mountain,https://www.skiresort.info/ski-resort/snowshoe-mountain/,119.0,Marlinton,West Virginia,26209,"[-79.99344, 38.422376]",31.0,14.0,11.0,6.0
104,Saddleback,https://www.skiresort.info/ski-resort/saddleback/,79.0,Rangeley,Maine,04970,"[-70.6576, 44.966701]",22.0,4.0,8.0,10.0
105,Snow Valley,https://www.skiresort.info/ski-resort/snow-valley/,89.0,Highland,California,92382,"[-117.10499, 34.205626]",34.0,4.0,20.0,10.0
106,Beaver Mountain,https://www.skiresort.info/ski-resort/beaver-mountain/,50.0,Logan,Utah,84028,"[-111.40328, 41.91021]",30.0,10.0,12.0,8.0
107,Wildcat Mountain,https://www.skiresort.info/ski-resort/wildcat-mountain/,94.0,Jackson,New Hampshire,03581,"[-71.16273, 44.386557]",25.0,5.2,12.1,7.7
108,Santa Fé,https://www.skiresort.info/ski-resort/santa-fe/,80.0,Santa Fe,New Mexico,87505,"[-105.97926, 35.616662]",34.0,9.0,15.0,10.0
109,Timberline Mountain,https://www.skiresort.info/ski-resort/timberline-mountain/,84.0,Davis,West Virginia,26260,"[-79.43805, 39.101535]",18.0,6.0,6.0,6.0
110,Camelback,https://www.skiresort.info/ski-resort/camelback/,70.0,Stroudsburg,Pennsylvania,18372,"[-75.31865, 41.048423]",34.0,20.0,11.0,3.0
111,Waterville Valley,https://www.skiresort.info/ski-resort/waterville-valley/,96.0,Waterville Valley,New Hampshire,03215,"[-71.50336, 43.951304]",25.0,3.5,16.0,5.5
112,Willamette Pass – Crescent,https://www.skiresort.info/ski-resort/willamette-pass-crescent/,60.0,Crescent,Oregon,97405,"[-123.12203, 44.004396]",29.0,6.0,13.0,10.0
113,Snow Summit – Big Bear Lake,https://www.skiresort.info/ski-resort/snow-summit-big-bear-lake/,,Big Bear Lake,California,92315,"[-116.90328, 34.241295]",29.0,10.0,12.0,7.0
114,Montana Snowbowl,https://www.skiresort.info/ski-resort/montana-snowbowl/,50.0,Missoula,Montana,59807,"[-113.958686, 46.910342]",31.0,5.0,12.0,14.0
115,Lookout Pass,https://www.skiresort.info/ski-resort/lookout-pass/,49.0,Mullan,Idaho,83846,"[-115.78377, 47.466971]",31.0,8.0,14.0,9.0
116,Mountain Creek – Vernon,https://www.skiresort.info/ski-resort/mountain-creek-vernon/,79.99,Vernon Township,New Jersey,07462,"[-74.5089, 41.193708]",24.0,4.0,14.0,6.0
117,Belleayre Mountain,https://www.skiresort.info/ski-resort/belleayre-mountain/,95.0,Margaretville,The Catskills,12441,"[-74.345684, 41.878801]",20.0,5.0,11.0,4.0
118,Haystack Mountain – The Hermitage Club,https://www.skiresort.info/ski-resort/haystack-mountain-the-hermitage-club/,,Wilmington,Vermont,05356,"[-72.87237, 42.952974]",19.3,5.6,9.5,4.2
119,Monarch,https://www.skiresort.info/ski-resort/monarch/,89.0,Salida,Colorado,81227,"[-106.243422, 38.545757]",31.0,5.0,14.0,12.0
120,The Summit at Snoqualmie,https://www.skiresort.info/ski-resort/the-summit-at-snoqualmie/,95.0,North Bend,Washington State,98068,"[-121.39603, 47.397811]",27.9,5.2,13.7,9.0
121,Mt. Spokane,https://www.skiresort.info/ski-resort/mt-spokane/,62.0,Mead,Washington State,99021,"[-117.22306, 47.81108]",26.0,7.0,5.0,14.0
122,Sandia Peak,https://www.skiresort.info/ski-resort/sandia-peak/,55.0,Sandia Park,New Mexico,87122,"[-106.52021, 35.18076]",31.0,8.0,20.0,3.0
123,Bristol Mountain,https://www.skiresort.info/ski-resort/bristol-mountain/,79.0,Rochester,Finger Lakes,14424,"[-77.29466, 42.85297]",20.0,6.0,10.0,4.0
124,Wachusett Mountain,https://www.skiresort.info/ski-resort/wachusett-mountain/,71.0,Westminster,Massachusetts,01541,"[-71.882, 42.451569]",12.0,3.6,4.8,3.6
125,Pats Peak,https://www.skiresort.info/ski-resort/pats-peak/,72.0,Henniker,New Hampshire,03242,"[-71.81722, 43.173469]",33.0,10.0,8.0,15.0
126,Boyne Highlands,https://www.skiresort.info/ski-resort/boyne-highlands/,98.0,Harbor Springs,Michigan,49740,"[-84.99025, 45.502308]",25.7,10.3,7.7,7.7
127,Granby Ranch,https://www.skiresort.info/ski-resort/granby-ranch/,84.0,,Colorado,80446,"[-105.95502, 40.142434]",20.0,6.0,10.0,4.0
128,Granite Peak at Rib Mountain State Park,https://www.skiresort.info/ski-resort/granite-peak-at-rib-mountain-state-park/,82.0,Wausau,Wisconsin,54401,"[-89.6693, 44.958382]",20.0,10.0,5.0,5.0
129,Magic Mountain,https://www.skiresort.info/ski-resort/magic-mountain/,74.0,Londonderry,Vermont,05148,"[-72.80106, 43.238921]",23.0,7.0,7.0,9.0
130,Diamond Peak,https://www.skiresort.info/ski-resort/diamond-peak/,109.0,Incline Village,Lake Tahoe,89451,"[-119.95204, 39.245257]",16.3,1.6,7.1,7.6
131,Homewood Mountain Resort,https://www.skiresort.info/ski-resort/homewood-mountain-resort/,,Homewood,Lake Tahoe,96141,"[-120.16325, 39.093271]",20.0,6.0,13.0,1.0
132,Sugar Mountain,https://www.skiresort.info/ski-resort/sugar-mountain/,75.0,Sugar Mountain,North Carolina,28604,"[-81.84672, 36.166515]",14.0,4.0,7.0,3.0
133,Titus Mountain,https://www.skiresort.info/ski-resort/titus-mountain/,49.0,Malone,The Adirondacks,12953,"[-74.2772, 44.813419]",27.0,10.0,10.0,7.0
134,Maverick Mountain,https://www.skiresort.info/ski-resort/maverick-mountain/,39.0,Polaris,Montana,59746,"[-113.17025, 45.534274]",20.0,6.0,8.0,6.0
135,Soldier Mountain,https://www.skiresort.info/ski-resort/soldier-mountain/,43.0,Fairfield,Idaho,83327,"[-114.77559, 43.365909]",25.0,9.0,8.0,8.0
136,Mountain High East,https://www.skiresort.info/ski-resort/mountain-high-east/,84.0,Wrightwood,California,92397,"[-117.62752, 34.35876]",11.0,2.0,5.0,4.0
137,Boreal,https://www.skiresort.info/ski-resort/boreal/,,Truckee,Lake Tahoe,96160,"[-120.186383, 39.3781]",20.0,6.0,11.0,3.0
138,Mt. Baldy,https://www.skiresort.info/ski-resort/mt-baldy/,76.0,Mt Baldy,California,91759,"[-117.66106, 34.231581]",20.0,3.0,6.0,11.0
139,Shawnee Peak,https://www.skiresort.info/ski-resort/shawnee-peak/,75.0,Bridgton,Maine,04009,"[-70.72552, 44.059192]",23.0,4.0,12.0,7.0
140,Holimont,https://www.skiresort.info/ski-resort/holimont/,75.0,Ellicottville,Chautauqua-Allegheny,14731-0279,"[-78.65425, 42.286037]",20.0,4.0,6.0,10.0
141,Mt. Shasta Ski Park,https://www.skiresort.info/ski-resort/mt-shasta-ski-park/,65.0,McCloud,California,96067,"[-122.31207, 41.317771]",23.0,5.0,8.0,10.0
142,Sunlight Mountain,https://www.skiresort.info/ski-resort/sunlight-mountain/,65.0,Glenwood Springs,Colorado,81601,"[-107.32107, 39.533318]",20.0,4.0,11.0,5.0
143,Pebble Creek,https://www.skiresort.info/ski-resort/pebble-creek/,47.0,Inkom,Idaho,83245,"[-112.23562, 42.79471]",19.0,6.0,9.0,4.0
144,Cooper,https://www.skiresort.info/ski-resort/cooper/,56.0,Leadville,Colorado,80461,"[-106.31399, 39.231775999999996]",26.0,8.0,10.0,8.0
145,Butternut,https://www.skiresort.info/ski-resort/butternut/,65.0,Great Barrington,Massachusetts,01230,"[-73.35249, 42.189715]",22.0,4.4,13.2,4.4
146,Showdown,https://www.skiresort.info/ski-resort/showdown/,47.0,White Sulphur Springs,Montana,59465,"[-110.71696, 46.926021]",20.0,6.0,8.0,6.0
147,Cascade Mountain,https://www.skiresort.info/ski-resort/cascade-mountain/,69.0,,Wisconsin,53901-9633,"[-89.47101, 43.549851]",14.0,5.0,5.0,4.0
148,Cherry Peak,https://www.skiresort.info/ski-resort/cherry-peak/,40.0,Logan,Utah,84333,"[-111.81676, 41.919806]",20.0,5.0,10.0,5.0
149,Seven Springs,https://www.skiresort.info/ski-resort/seven-springs/,89.0,Champion,Pennsylvania,15622,"[-79.30426, 40.038201]",17.0,6.0,7.0,4.0
150,Deer Mountain  (temporarily closed),https://www.skiresort.info/ski-resort/deer-mountain/,,Lead,South Dakota,57754,"[-103.83118, 44.312922]",22.0,10.0,7.0,5.0
151,Red River,https://www.skiresort.info/ski-resort/red-river/,79.0,Red River,New Mexico,87558,"[-105.3955, 36.705987]",20.0,7.0,6.0,7.0
152,Burke Mountain,https://www.skiresort.info/ski-resort/burke-mountain/,73.0,Saint Johnsbury,Vermont,05832,"[-71.92705, 44.588911]",10.0,2.0,4.0,4.0
153,Nordic Valley,https://www.skiresort.info/ski-resort/nordic-valley/,50.0,Eden,Utah,84310,"[-111.81304, 41.364638]",9.5,2.5,4.0,3.0
154,Eagle Point,https://www.skiresort.info/ski-resort/eagle-point/,70.0,Beaver,Utah,84713,"[-112.6926, 38.35906]",20.0,6.0,9.0,5.0
155,Greek Peak,https://www.skiresort.info/ski-resort/greek-peak/,84.0,Virgil,Finger Lakes,13045,"[-76.19217, 42.591109]",19.0,9.0,4.0,6.0
156,Wintergreen Resort,https://www.skiresort.info/ski-resort/wintergreen-resort/,89.0,Wintergreen,Virginia,22958,"[-78.90273, 37.905649]",10.0,2.0,4.0,4.0
157,Mountain High West,https://www.skiresort.info/ski-resort/mountain-high-west/,84.0,Wrightwood,California,92397,"[-117.62752, 34.35876]",15.0,3.0,5.0,7.0
158,Spirit Mountain,https://www.skiresort.info/ski-resort/spirit-mountain/,59.0,Duluth,Minnesota,55810,"[-92.24355, 46.753414]",11.0,4.0,5.0,2.0
159,Bigrock Mountain,https://www.skiresort.info/ski-resort/bigrock-mountain/,40.0,Houlton,Maine,04758,"[-67.86655, 46.512409]",20.0,2.0,14.0,4.0
160,Arctic Valley,https://www.skiresort.info/ski-resort/arctic-valley/,45.0,Anchorage,Alaska,99520-0546,"[-149.440311, 61.108864]",25.0,5.0,10.0,10.0
161,Shawnee Mountain,https://www.skiresort.info/ski-resort/shawnee-mountain/,65.0,Stroudsburg,Pennsylvania,18356,"[-75.09995, 41.010333]",18.0,4.0,9.0,5.0
162,Pine Creek,https://www.skiresort.info/ski-resort/pine-creek/,45.0,Cokeville,Wyoming,83114,"[-110.85188, 42.039281]",16.0,4.0,7.0,5.0
