,name,link,price,closest_town,region,total_len,easy_len,intermediate_len,difficult_len
392, Sundown Mountain Resort ,https://www.skiresort.info/ski-resort/sundown-mountain-resort/,46.0,Dubuque,Iowa,3.2,1.3,1.6,0.3
393, Lyndon Outing Club ,https://www.skiresort.info/ski-resort/lyndon-outing-club/,15.0,Lyndon,Vermont,2.6,1.5,1.0,0.1
394, Andes Tower Hills ,https://www.skiresort.info/ski-resort/andes-tower-hills/,45.0,Alexandria,Minnesota,4.0,2.2,1.6,0.2
395, Ascutney Mountain ,https://www.skiresort.info/ski-resort/ascutney-mountain/,N/A,N/A,Vermont,1.8,1.2,0.6,0.0
396, Storrs Hill – Lebanon ,https://www.skiresort.info/ski-resort/storrs-hill-lebanon/,15.0,Lebanon,New Hampshire,1.0,0.7,0.3,0.0
397, Lake City Ski Hill ,https://www.skiresort.info/ski-resort/lake-city-ski-hill/,15.0,Lake City,Colorado,1.0,0.7,0.3,0.0
398, Whitetail Ridge – Fort McCoy ,https://www.skiresort.info/ski-resort/whitetail-ridge-fort-mccoy/,27.0,Fort McCoy,Wisconsin,1.2,0.7,0.5,0.0
399, Granlibakken ,https://www.skiresort.info/ski-resort/granlibakken/,40.0,Granlibakken,Lake Tahoe,2.0,1.0,1.0,0.0
400, Big Boulder ,https://www.skiresort.info/ski-resort/big-boulder/,65.0,Allentown,Pennsylvania,4.0,3.0,1.0,0.0
401, Bruce Mound ,https://www.skiresort.info/ski-resort/bruce-mound/,31.0,Black River Falls,Wisconsin,2.0,1.0,0.5,0.5
402, Boston Mills ,https://www.skiresort.info/ski-resort/boston-mills/,44.0,Cleveland,Ohio,1.5,0.5,0.5,0.5
403, Cannonsburg Ski Area ,https://www.skiresort.info/ski-resort/cannonsburg-ski-area/,39.0,Grand Rapids,Michigan,2.0,0.5,1.0,0.5
404, Echo Valley – Lake Chelan ,https://www.skiresort.info/ski-resort/echo-valley-lake-chelan/,30.0,Chelan,Washington State,2.4,0.2,1.2,1.0
405, Veterans Memorial – Franklin ,https://www.skiresort.info/ski-resort/veterans-memorial-franklin/,N/A,Franklin,New Hampshire,1.0,0.6,0.4,0.0
406, Camp 10 ,https://www.skiresort.info/ski-resort/camp-10/,34.0,Rhinelander,Wisconsin,1.5,0.3,0.7,0.5
407, Coffee Mill Ski Area ,https://www.skiresort.info/ski-resort/coffee-mill-ski-area/,37.0,Wabasha,Minnesota,2.0,1.0,0.6,0.4
408, Swiss Valley ,https://www.skiresort.info/ski-resort/swiss-valley/,42.0,Jones,Michigan,1.8,0.4,1.1,0.3
409, Buena Vista ,https://www.skiresort.info/ski-resort/buena-vista/,44.0,Bemidji,Minnesota,1.7,0.4,0.8,0.5
410, Crescent Hills ,https://www.skiresort.info/ski-resort/crescent-hills/,39.0,Omaha,Iowa,2.0,0.8,0.8,0.4
411, Grand Geneva ,https://www.skiresort.info/ski-resort/grand-geneva/,55.0,Lake Geneva,Wisconsin,1.8,1.2,0.4,0.2
412, Brandywine ,https://www.skiresort.info/ski-resort/brandywine/,44.0,Cleveland,Ohio,2.0,1.0,0.7,0.3
413, Beartown ,https://www.skiresort.info/ski-resort/beartown/,22.0,West Chazy,The Adirondacks,0.8,0.5,0.3,0.0
414, Spruce Mountain – Jay ,https://www.skiresort.info/ski-resort/spruce-mountain-jay/,25.0,Livermore Falls,Maine,2.4,0.6,1.4,0.4
415, Dry Hill ,https://www.skiresort.info/ski-resort/dry-hill/,40.0,Watertown,Thousand Islands-Seaway,2.4,0.7,1.2,0.5
416, Polar Peak ,https://www.skiresort.info/ski-resort/polar-peak/,N/A,Ancram,Hudson Valley,1.9,1.0,0.5,0.4
417, The Ridge – Le Roy ,https://www.skiresort.info/ski-resort/the-ridge-le-roy/,N/A,N/A,Greater Niagara,0.7,0.4,0.3,0.0
418, Indian Lake ,https://www.skiresort.info/ski-resort/indian-lake/,N/A,Indian Lake,The Adirondacks,0.9,0.6,0.3,0.0
419, Maple Ski Ridge ,https://www.skiresort.info/ski-resort/maple-ski-ridge/,N/A,Rotterdam,Capital-Saratoga Region,1.4,0.3,0.8,0.3
420, Red Hill – Moultonborough ,https://www.skiresort.info/ski-resort/red-hill-moultonborough/,N/A,Moultonborough,New Hampshire,1.0,0.4,0.4,0.2
421, Fox Hill ,https://www.skiresort.info/ski-resort/fox-hill/,N/A,West Bend,Wisconsin,1.0,0.5,0.3,0.2
422, Abenaki ,https://www.skiresort.info/ski-resort/abenaki/,N/A,N/A,New Hampshire,2.0,1.2,0.5,0.3
423, Buckhorn Ski and Snowboard Club ,https://www.skiresort.info/ski-resort/buckhorn-ski-and-snowboard-club/,N/A,La Cañada Flintridge,California,1.2,0.2,0.6,0.4
424, Northeast Slopes – East Corinth ,https://www.skiresort.info/ski-resort/northeast-slopes-east-corinth/,15.0,East Corinth,Vermont,2.2,1.2,1.0,0.0
425, Little Ski Hill ,https://www.skiresort.info/ski-resort/little-ski-hill/,15.0,McCall,Idaho,1.4,1.4,0.0,0.0
426, Cochran Ski Area ,https://www.skiresort.info/ski-resort/cochran-ski-area/,25.0,Burlington,Vermont,1.2,0.6,0.5,0.1
427, Mt. Pisgah ,https://www.skiresort.info/ski-resort/mt-pisgah/,25.0,Saranac Lake,The Adirondacks,1.0,1.0,0.0,0.0
428, Missaukee Mountain ,https://www.skiresort.info/ski-resort/missaukee-mountain/,N/A,N/A,Michigan,1.3,0.7,0.5,0.1
429, Pinnacle Park – Pittsfield ,https://www.skiresort.info/ski-resort/pinnacle-park-pittsfield/,N/A,Pittsfield,Maine,0.7,0.3,0.2,0.2
430, Plumas Eureka Ski Bowl ,https://www.skiresort.info/ski-resort/plumas-eureka-ski-bowl/,N/A,Johnsville,California,1.3,1.0,0.2,0.1
431, Quoggy Jo Ski Center – Presque Isle ,https://www.skiresort.info/ski-resort/quoggy-jo-ski-center-presque-isle/,8.0,Presque Isle,Maine,0.8,0.8,0.0,0.0
432, Badger Mountain ,https://www.skiresort.info/ski-resort/badger-mountain/,10.0,Wenatchee,Washington State,2.5,2.0,0.5,0.0
433, Brantling Ski Slopes ,https://www.skiresort.info/ski-resort/brantling-ski-slopes/,32.0,Rochester,Finger Lakes,1.0,0.7,0.3,0.0
434, Eaton Mountain ,https://www.skiresort.info/ski-resort/eaton-mountain/,15.0,Skowhegan,Maine,2.0,1.5,0.5,0.0
435, Pando Park  (temporarily closed) ,https://www.skiresort.info/ski-resort/pando-park/,22.0,Rockford,Michigan,1.3,1.0,0.3,0.0
436, Hillberg Ski Area ,https://www.skiresort.info/ski-resort/hillberg-ski-area/,20.0,Anchorage,Alaska,1.2,0.9,0.3,0.0
437, Kettlebowl ,https://www.skiresort.info/ski-resort/kettlebowl/,5.0,Bryant,Wisconsin,1.4,0.3,1.1,0.0
438, Hanson Hills ,https://www.skiresort.info/ski-resort/hanson-hills/,25.0,Grayling,Michigan,1.0,0.8,0.2,0.0
439, Living Memorial Park – Brattleboro ,https://www.skiresort.info/ski-resort/living-memorial-park-brattleboro/,5.0,Brattleboro,Vermont,0.5,0.5,0.0,0.0
440, Alta Sierra – Shirley Meadows ,https://www.skiresort.info/ski-resort/alta-sierra-shirley-meadows/,50.0,Bakersfield,California,1.5,1.3,0.2,0.0
441, Meany Lodge ,https://www.skiresort.info/ski-resort/meany-lodge/,N/A,Easton,Washington State,2.0,1.0,1.0,0.0
442, Sahalie Ski Club ,https://www.skiresort.info/ski-resort/sahalie-ski-club/,N/A,North Bend,Washington State,1.5,1.0,0.5,0.0
443, Fort Wainwright/​Birch Hill – Fairbanks ,https://www.skiresort.info/ski-resort/fort-wainwrightbirch-hill-fairbanks/,N/A,Fairbanks,Alaska,1.8,1.5,0.3,0.0
444, Snow Hill at Eastman ,https://www.skiresort.info/ski-resort/snow-hill-at-eastman/,N/A,Newport,New Hampshire,1.0,0.5,0.5,0.0
445, Mt. Eustis – Littleton  (temporarily closed) ,https://www.skiresort.info/ski-resort/mt-eustis-littleton/,N/A,N/A,New Hampshire,1.2,0.5,0.7,0.0
446, Challenge Mountain – Walloon Lake ,https://www.skiresort.info/ski-resort/challenge-mountain-walloon-lake/,N/A,Walloon Lake,Michigan,1.2,0.9,0.3,0.0
447, Mount Prospect – Lancaster ,https://www.skiresort.info/ski-resort/mount-prospect-lancaster/,N/A,Lancaster,New Hampshire,0.8,0.5,0.3,0.0
448, Triangle Sports Area – Green Bay ,https://www.skiresort.info/ski-resort/triangle-sports-area-green-bay/,N/A,Green Bay,Wisconsin,0.6,0.5,0.1,0.0
449, Blackhawk Ski Club – Middleton ,https://www.skiresort.info/ski-resort/blackhawk-ski-club-middleton/,N/A,Middleton,Wisconsin,0.8,0.6,0.2,0.0
450, Powers Bluff ,https://www.skiresort.info/ski-resort/powers-bluff/,10.0,Arpin,Wisconsin,1.0,1.0,0.0,0.0
451, Boyce Park ,https://www.skiresort.info/ski-resort/boyce-park/,28.0,Pittsburgh,Pennsylvania,1.0,1.0,0.0,0.0
452, Four Lakes ,https://www.skiresort.info/ski-resort/four-lakes/,28.0,Lisle,Illinois,1.0,1.0,0.0,0.0
453, The Rock Snow Park ,https://www.skiresort.info/ski-resort/the-rock-snow-park/,40.0,Milwaukee,Wisconsin,1.0,1.0,0.0,0.0
454, Leavenworth Ski Hill ,https://www.skiresort.info/ski-resort/leavenworth-ski-hill/,19.0,Leavenworth,Washington State,1.0,1.0,0.0,0.0
455, Villa Roma ,https://www.skiresort.info/ski-resort/villa-roma/,N/A,Callicoon,The Catskills,1.7,1.7,0.0,0.0
456, Big Creek Ski Area ,https://www.skiresort.info/ski-resort/big-creek-ski-area/,N/A,Cleveland,Ohio,1.0,1.0,0.0,0.0
457, Standing Rocks ,https://www.skiresort.info/ski-resort/standing-rocks/,16.0,Stevens Point,Wisconsin,0.9,0.9,0.0,0.0
458, Four Seasons ,https://www.skiresort.info/ski-resort/four-seasons/,24.0,Fayetteville,Finger Lakes,0.5,0.4,0.1,0.0
459, Cloudmont Ski Resort ,https://www.skiresort.info/ski-resort/cloudmont-ski-resort/,40.0,Fort Payne,Alabama,0.6,0.6,0.0,0.0
460, Adventure Mountain – Greenland ,https://www.skiresort.info/ski-resort/adventure-mountain-greenland/,N/A,Greenland,Michigan,0.5,0.2,0.3,0.0
461, Gladstone Sports Park ,https://www.skiresort.info/ski-resort/gladstone-sports-park/,N/A,Gladstone,Michigan,0.5,0.4,0.1,0.0
462, Al Quaal ,https://www.skiresort.info/ski-resort/al-quaal/,N/A,Ishpeming,Michigan,0.4,0.2,0.2,0.0
463, Aldis Hill Park – St. Albans ,https://www.skiresort.info/ski-resort/aldis-hill-park-st-albans/,N/A,N/A,Vermont,0.4,0.2,0.2,0.0
464, Ruby Mountain ,https://www.skiresort.info/ski-resort/ruby-mountain/,N/A,Lamoille,N/A,,,,
465, North Cascade Heliskiing – Mazama ,https://www.skiresort.info/ski-resort/north-cascade-heliskiing-mazama/,N/A,Mazama,N/A,,,,
466, Powderhouse Hill – South Berwick ,https://www.skiresort.info/ski-resort/powderhouse-hill-south-berwick/,5.0,South Berwick,Maine,0.5,0.5,0.0,0.0
467, Keyes Peak – Florence ,https://www.skiresort.info/ski-resort/keyes-peak-florence/,12.0,Florence,Wisconsin,0.5,0.5,0.0,0.0
468, Salmonberry – Valdez ,https://www.skiresort.info/ski-resort/salmonberry-valdez/,N/A,Valdez,Alaska,0.4,0.4,0.0,0.0
469, Rocking Horse Ranch ,https://www.skiresort.info/ski-resort/rocking-horse-ranch/,N/A,Highland,The Catskills,0.3,0.3,0.0,0.0
470, Great Northern Powder Guides ,https://www.skiresort.info/ski-resort/great-northern-powder-guides/,N/A,Whitefish, read more,,,,
471, Cascade Powder Guides ,https://www.skiresort.info/ski-resort/cascade-powder-guides/,N/A,N/A,N/A,,,,
472, Petoskey Winter Sports Park ,https://www.skiresort.info/ski-resort/petoskey-winter-sports-park/,N/A,Petoskey,Michigan,0.2,0.2,0.0,0.0
473, Cottonwood Butte ,https://www.skiresort.info/ski-resort/cottonwood-butte/,20.0,Cottonwood,Idaho,,,,
474, Nutt Hill – Plymouth ,https://www.skiresort.info/ski-resort/nutt-hill-plymouth/,N/A,Plymouth,Wisconsin,0.2,0.2,0.0,0.0
475, Winterplace ,https://www.skiresort.info/ski-resort/winterplace/,54.0,Ghent,West Virginia,,,,
476, Texas Ski Ranch – New Braunfels (dry slopes) ,https://www.skiresort.info/ski-resort/texas-ski-ranch-new-braunfels/,27.0,New Braunfels,Texas,0.1,0.1,0.0,0.0
477, Dynamite Hill – Chestertown ,https://www.skiresort.info/ski-resort/dynamite-hill-chestertown/,N/A,Chestertown,The Adirondacks,0.2,0.2,0.0,0.0
478, Cockaigne Resort ,https://www.skiresort.info/ski-resort/cockaigne-resort/,38.0,N/A,Chautauqua-Allegheny,,,,
479, Bittersweet ,https://www.skiresort.info/ski-resort/bittersweet/,48.0,Kalamazoo,Michigan,,,,
480, Eagle Rock ,https://www.skiresort.info/ski-resort/eagle-rock/,N/A,Hazleton,Pennsylvania,,,,
481, Snöbahn – Centennial ,https://www.skiresort.info/ski-resort/snoebahn-centennial/,N/A,Centennial,Colorado,0.1,0.1,0.0,0.0
482, Maple Valley  (temporarily closed) ,https://www.skiresort.info/ski-resort/maple-valley/,N/A,N/A,Vermont,,,,
483, Sky Tavern ,https://www.skiresort.info/ski-resort/sky-tavern/,N/A,Reno,Nevada,,,,
484, Paul Bunyan Ski Hill ,https://www.skiresort.info/ski-resort/paul-bunyan-ski-hill/,N/A,N/A,Wisconsin,,,,
485, Stover Mountain ,https://www.skiresort.info/ski-resort/stover-mountain/,N/A,N/A,California,,,,
486, Mt. Bailey ,https://www.skiresort.info/ski-resort/mt-bailey/,385.0,N/A,N/A,,,,
487, Inside Ski Training Center – Leesburg (dry slopes) ,https://www.skiresort.info/ski-resort/inside-ski-training-center-leesburg/,N/A,Leesburg,Virginia,0.1,0.1,0.0,0.0
488, Eagle Island Park ,https://www.skiresort.info/ski-resort/eagle-island-park/,N/A,Eagle,Idaho,0.1,0.1,0.0,0.0
489, WinterClub Indoor Ski & Snowboard – Winter Park (dry slopes) ,https://www.skiresort.info/ski-resort/winterclub-indoor-ski-snowboard-winter-park/,N/A,Winter Park,Florida,0.1,0.1,0.0,0.0
490, Sand Master Park – Florence (sand ski area) ,https://www.skiresort.info/ski-resort/sand-master-park-florence/,N/A,Florence,N/A,0.1,0.0,0.0,0.1
491, Diamond Peaks ,https://www.skiresort.info/ski-resort/diamond-peaks/,N/A,Huntsville (Utah),N/A,,,,
492, Valdez Heli-Ski Guides ,https://www.skiresort.info/ski-resort/valdez-heli-ski-guides/,N/A,N/A,N/A,,,,
493, Yukon Alpine Heliskiing ,https://www.skiresort.info/ski-resort/yukon-alpine-heliskiing/,N/A,N/A,N/A,,,,
494, H2O Guides ,https://www.skiresort.info/ski-resort/h2o-guides/,N/A,N/A,N/A,,,,
495, Points North Heli Adventures ,https://www.skiresort.info/ski-resort/points-north-heli-adventures/,N/A,N/A,N/A,,,,
496, Green Mountain – Bush Creek Ranch ,https://www.skiresort.info/ski-resort/green-mountain-bush-creek-ranch/,N/A,N/A,N/A,,,,
497, Whisper Ridge ,https://www.skiresort.info/ski-resort/whisper-ridge/,N/A,N/A,N/A,,,,
498, Jerry's Heliski Alaska ,https://www.skiresort.info/ski-resort/jerrys-heliski-alaska/,N/A,N/A,N/A,,,,
499, Powderbird ,https://www.skiresort.info/ski-resort/powderbird/,N/A,N/A,N/A,,,,
500, Mott Mountain ,https://www.skiresort.info/ski-resort/mott-mountain/,N/A,N/A,info@skiresort-service.com,,,,
501, Mayflower Mountain Resort (planned) ,https://www.skiresort.info/ski-resort/mayflower-mountain-resort-planned/,N/A,N/A,info@skiresort-service.com,,,,
502, Las Vegas Wet (planned) (indoor ski area) ,https://www.skiresort.info/ski-resort/las-vegas-wet-planned/,N/A,N/A,info@skiresort-service.com,,,,
503, Huntington ,https://www.skiresort.info/ski-resort/huntington/,N/A,N/A,info@skiresort-service.com,,,,
504, Carson Ski Resort ,https://www.skiresort.info/ski-resort/carson-ski-resort/,N/A,N/A,info@skiresort-service.com,,,,
505, Bearfire Resort – Dallas-Fort Worth (planned) (indoor ski area) ,https://www.skiresort.info/ski-resort/bearfire-resort-dallas-fort-worth-planned/,N/A,N/A,info@skiresort-service.com,,,,
506, Seacoast Snow Park ,https://www.skiresort.info/ski-resort/seacoast-snow-park/,N/A,N/A,info@skiresort-service.com,,,,
507, Ravenswood ,https://www.skiresort.info/ski-resort/ravenswood/,N/A,N/A,info@skiresort-service.com,,,,
508, Riverside Hills ,https://www.skiresort.info/ski-resort/riverside-hills/,N/A,N/A,info@skiresort-service.com,,,,
509, Potawatomi Park ,https://www.skiresort.info/ski-resort/potawatomi-park/,N/A,N/A,info@skiresort-service.com,,,,
510, Scotch Valley Resort  (temporarily closed) ,https://www.skiresort.info/ski-resort/scotch-valley-resort/,N/A,N/A,info@skiresort-service.com,,,,
511, Quadna Mountain ,https://www.skiresort.info/ski-resort/quadna-mountain/,N/A,N/A,info@skiresort-service.com,,,,
512, Mt. Zion Hill ,https://www.skiresort.info/ski-resort/mt-zion-hill/,N/A,N/A,info@skiresort-service.com,,,,
513, Mt. Mc Sauba ,https://www.skiresort.info/ski-resort/mt-mc-sauba/,N/A,N/A,info@skiresort-service.com,,,,
514, Shu-Maker Mountain – Little Falls ,https://www.skiresort.info/ski-resort/shu-maker-mountain-little-falls/,N/A,N/A,info@skiresort-service.com,,,,
515, Nor-Ski Runs – Decorah ,https://www.skiresort.info/ski-resort/nor-ski-runs-decorah/,N/A,N/A,info@skiresort-service.com,,,,
516, North Bicentennial Park ,https://www.skiresort.info/ski-resort/north-bicentennial-park/,N/A,N/A,info@skiresort-service.com,,,,
517, Sunset Ski Area ,https://www.skiresort.info/ski-resort/sunset-ski-area/,N/A,N/A,info@skiresort-service.com,,,,
518, Sierra Summit ,https://www.skiresort.info/ski-resort/sierra-summit/,N/A,N/A,info@skiresort-service.com,,,,
519, Lynx Creek ,https://www.skiresort.info/ski-resort/lynx-creek/,N/A,N/A,info@skiresort-service.com,,,,
520, Fairmont Hot Springs – Fairmont ,https://www.skiresort.info/ski-resort/fairmont-hot-springs-fairmont/,N/A,N/A,info@skiresort-service.com,,,,
521, Plumtree Ski Hill (Fawnridge) ,https://www.skiresort.info/ski-resort/plumtree-ski-hill-fawnridge/,N/A,N/A,info@skiresort-service.com,,,,
522, Black Rapid ,https://www.skiresort.info/ski-resort/black-rapid/,N/A,N/A,info@skiresort-service.com,,,,
